0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,-3.102278,-0.014489173,-0.0020320637,-0.24484932,0.066849045,0.42616537,-0.27416286,-0.0206028,-0.43002144,0.14236483,0.0069857882,0.007710334,0.5158928,-0.19713385,-0.0767443,0.50142163,0.21134478,-0.0049015707,-0.051952735,0.0028277491,0.025546618,-0.3964384,0.24822703,-0.122245364,-0.2829722,-0.12187875,0.042546656,-0.028743023,0.0035911817,0.01759712,0.102178015,-0.025309786,0.05159746,-0.21058413,0.11860125,-0.0022303949,0.09828814,0.01487753,-0.089406036,-0.27018553,-0.32037434,0.48849678,-0.2854153,0.28375825,-0.4500954,-0.19703348,-0.010253254,0.083566725,-0.4399961,-0.3859984,0.5441908,-0.44235966,0.27668718,-0.5889177,-0.4925689,-0.94829303,0.46149153,-0.5245448,0.9738615,-0.36304227,-0.372623,-0.066506594,-0.15489788,-0.36587113,0.095770344,0.09835632,0.06003766,0.13332066,-0.49543145,0.060259633,-0.06140558,0.39142194
1,-3.0890126,-0.019445792,-0.025240602,-0.21993697,0.101445735,0.44625604,-0.21923792,-0.05198141,-0.44570923,0.11980046,0.0088126715,0.010958631,0.46955448,-0.17597319,-0.07779468,0.48147386,0.21470214,-0.002283295,-0.04920636,0.0020423632,0.025513569,-0.3991402,0.25640297,-0.12719461,-0.2945357,-0.12854035,0.041407313,-0.026206212,0.0044456827,0.011984901,0.10464171,-0.023700831,0.05568434,-0.20629491,0.11922985,-0.002125975,0.1211837,-0.0011021657,-0.08981535,-0.26902685,-0.3010128,0.5007153,-0.28444323,0.26578552,-0.46734047,-0.18193239,-0.01445447,0.08348461,-0.44882149,-0.38576484,0.5369177,-0.465732,0.28836754,-0.5931438,-0.4967988,-1.0031308,0.45910227,-0.52332366,1.0247566,-0.3817633,-0.40674207,-0.060314916,-0.16934331,-0.3862157,0.0869562,0.10687318,0.07039728,0.14145756,-0.4996545,0.068155006,-0.06986802,0.39117703
2,-3.0840914,-0.009268531,-0.004738188,-0.23249309,0.08929381,0.42268905,-0.2116271,-0.03672375,-0.41093984,0.1441954,0.00041128596,0.00671412,0.3565442,-0.20167936,-0.07041485,0.3895976,0.23810408,-0.019243127,-0.05556113,-0.008500584,0.017146792,-0.3794939,0.27175605,-0.13985588,-0.27371198,-0.14495681,0.06238234,-0.023631753,-0.005842692,0.004783918,0.102675155,-0.027412198,0.055300903,-0.20242146,0.11958758,-0.018046442,0.07288608,-0.035342634,-0.09577996,-0.24246524,-0.25689685,0.4530748,-0.27622306,0.20808807,-0.4279462,-0.19005005,-0.042263087,0.08657335,-0.42916444,-0.3628543,0.49782917,-0.41931507,0.21455598,-0.5706343,-0.48255807,-0.9661902,0.4625755,-0.5219879,0.9937784,-0.39270863,-0.3360097,-0.082201414,-0.13681176,-0.34399766,0.10538942,0.08872927,0.063807525,0.14583862,-0.49287865,0.05782895,-0.08090289,0.39217722
3,-3.090468,0.006561961,-0.016499504,-0.20381577,0.09492565,0.39684066,-0.1861891,-0.064298436,-0.3986934,0.14440607,0.0038661766,0.008812748,0.35036832,-0.19632843,-0.06730526,0.3468254,0.2184577,-0.023272537,-0.061330695,-0.0039451113,0.009603915,-0.36782998,0.28025588,-0.14231451,-0.2505495,-0.1578795,0.08145903,-0.020114928,-0.0027644325,0.0027914895,0.091019206,-0.028984621,0.048034854,-0.19533572,0.11013445,-0.030263595,-0.0060374215,-0.02147821,-0.08743402,-0.20180584,-0.16175161,0.38204172,-0.25011775,0.13611121,-0.36347845,-0.21090028,-0.027887842,0.07891033,-0.3837478,-0.2586812,0.4173544,-0.3459937,0.13714439,-0.490246,-0.4451735,-0.864364,0.40555555,-0.54005325,0.8929538,-0.3408661,-0.26405296,-0.0869723,-0.11905525,-0.29531193,0.10948125,0.06794447,0.06638889,0.14923322,-0.500096,0.055276766,-0.09890781,0.40309215
4,-3.10003,0.019934408,-0.017057724,-0.19712977,0.08516132,0.35547835,-0.22068271,-0.07473583,-0.34928226,0.18284678,0.005057234,0.017209845,0.21744198,-0.22519872,-0.054353677,0.2646513,0.1681389,-0.026254732,-0.070703626,0.0108793955,0.0013937692,-0.2998207,0.30611494,-0.17035726,-0.19492492,-0.17721944,0.105732,-0.014760277,0.0019248221,0.0027919514,0.103287585,-0.044232253,0.050960876,-0.16956653,0.09519001,-0.044434074,-0.016719187,-0.05218794,-0.07937966,-0.13525075,-0.037200335,0.28512064,-0.20719653,0.044682503,-0.2711673,-0.19392958,-0.026612649,0.07679093,-0.34888557,-0.14423224,0.31330135,-0.30733895,0.047561575,-0.41188326,-0.44735068,-0.7826737,0.36051923,-0.6819734,0.76073074,-0.27693957,-0.22652222,-0.09746802,-0.077691644,-0.2961868,0.109387,0.031486463,0.08555053,0.16479173,-0.52069163,0.070116036,-0.12766631,0.42972356
5,-3.0642529,0.024557743,-0.014869185,-0.23704818,0.074531324,0.33156464,-0.27262405,-0.06309881,-0.30203596,0.20784336,0.0068867244,0.017462932,0.21312565,-0.20597064,-0.056162946,0.28638163,0.14220755,-0.022758124,-0.07893482,0.0117337555,-0.010684456,-0.25052497,0.30926952,-0.1612818,-0.1584486,-0.18055907,0.11330478,-0.017563067,0.00019402285,0.00033156993,0.108216666,-0.050079715,0.04297482,-0.1302958,0.081483394,-0.050557345,-0.08541671,-0.034990363,-0.075627975,-0.09263875,0.042414956,0.17947125,-0.17780231,-0.01949278,-0.19398123,-0.20386012,0.0018650685,0.072315864,-0.2870847,-0.029539155,0.20435856,-0.22204396,-0.0108591495,-0.32215163,-0.35134837,-0.7158938,0.31632212,-0.5856748,0.6902525,-0.21587604,-0.115428865,-0.10982448,-0.06337531,-0.20586663,0.11163349,0.018591868,0.10108344,0.16651575,-0.52546525,0.08647071,-0.14052942,0.43838602
6,-3.0662832,0.015638152,0.024810884,-0.21564439,0.057378605,0.2855452,-0.30471182,-0.046376333,-0.2750403,0.21289185,0.001242795,0.01649772,0.2253589,-0.22413298,-0.05974061,0.41067547,0.12819661,-0.010353391,-0.0804991,0.010772118,-0.0041060094,-0.22231269,0.30746448,-0.1524846,-0.17452857,-0.18277977,0.11181952,-0.011919434,-0.004788371,-0.005457305,0.0864023,-0.048248213,0.046315245,-0.11626515,0.06714397,-0.046630044,-0.10905601,-0.016288087,-0.060141217,-0.048706204,0.1070282,0.084608555,-0.15455145,-0.08124484,-0.08494095,-0.1742307,0.013785424,0.0426858,-0.20987202,0.06835891,0.069979616,-0.14289011,-0.07249416,-0.18285131,-0.24212275,-0.6000984,0.24559054,-0.49656788,0.645253,-0.25313377,-0.056197282,-0.10011151,-0.056635886,-0.17376359,0.096651904,0.00060544384,0.08555136,0.16275074,-0.5210285,0.08292715,-0.15031248,0.4388481
7,-3.0605793,0.015095304,0.061817016,-0.16912405,0.03276674,0.21885754,-0.25205693,-0.031729408,-0.22926882,0.2008469,0.0030679533,0.018306809,0.20028466,-0.23750184,-0.04883183,0.38319603,0.13919397,-0.021467641,-0.07163722,0.010647479,-0.0017578186,-0.20427826,0.30376783,-0.14424789,-0.16274,-0.18341163,0.120267496,-0.012017469,-0.0018486207,0.0006736877,0.06784521,-0.04574643,0.036365263,-0.11094161,0.059590656,-0.045425966,-0.14329596,-0.0053100483,-0.044010606,-0.024286866,0.15426096,-0.016103674,-0.13370591,-0.11140125,0.013283277,-0.14800969,0.004130719,0.029780878,-0.14599589,0.13382114,-0.076080754,-0.06439995,-0.09848818,-0.023880696,-0.15885405,-0.5517848,0.23921856,-0.39360428,0.5662522,-0.24506667,0.027688438,-0.105379194,-0.033814173,-0.1006649,0.10171867,-0.022205103,0.072030686,0.15865853,-0.51657844,0.06923459,-0.15771621,0.43486762
8,-3.0682876,0.0050176554,0.055166207,-0.13527362,0.027819214,0.1881295,-0.2131353,-0.022640875,-0.19194607,0.17992279,0.00016483595,0.014251022,0.17288151,-0.23497806,-0.043006375,0.4132375,0.1271314,-0.021256043,-0.057881456,0.0038047207,-0.002801128,-0.17939861,0.3009607,-0.14455721,-0.16122995,-0.19302927,0.124039724,-0.013332588,-0.0068303673,-0.0009588382,0.0339697,-0.035650704,0.028688934,-0.11343718,0.052955877,-0.043300457,-0.1393691,-0.025547823,-0.021633498,-0.0018826743,0.18417624,-0.11593577,-0.115598544,-0.13366768,0.09299005,-0.11866205,-0.0338155,0.027617455,-0.10753396,0.16976751,-0.23469792,0.0004888887,-0.124481045,0.13436005,-0.10370345,-0.52988786,0.23236533,-0.26960385,0.5681805,-0.25170404,0.09076695,-0.100219555,-0.030492868,-0.06295609,0.0985184,-0.029815312,0.05422829,0.15826002,-0.5182321,0.058102194,-0.1629953,0.43581074
9,-3.0987365,-0.00014909802,0.05811158,-0.12519181,0.02332645,0.15628985,-0.18640594,-0.017277114,-0.1616929,0.18078466,0.003825701,0.010740981,0.1760898,-0.2058709,-0.040783077,0.36594498,0.11333225,-0.017942278,-0.044272076,-0.0028864644,-0.0027324632,-0.18124361,0.2875161,-0.12706538,-0.15202875,-0.18233335,0.12253094,-0.012292321,-0.0050827805,-0.0010099208,0.013125953,-0.024545552,0.018850148,-0.1030149,0.044004317,-0.036287133,-0.15170592,-0.0035966863,-0.011601138,0.013851094,0.16762516,-0.18056262,-0.09159173,-0.10651142,0.17207046,-0.09011363,-0.031329278,0.015154689,-0.07069171,0.17716788,-0.39631504,0.046576384,-0.08591945,0.3235222,-0.017360698,-0.5039066,0.19164236,-0.13634825,0.5686017,-0.25942633,0.13008872,-0.091248415,-0.0072883745,-0.05357819,0.09910818,-0.055971343,0.03994642,0.14416997,-0.5111201,0.04251194,-0.15684319,0.4328326
